company_id,product_id
C001,P011
C001,P014
C001,P015
C001,P042
C001,P060
C001,P070
C001,P115
C001,P206
C001,P233
C001,P239
C003,P016
C003,P017
C003,P018
C003,P019
C003,P020
C003,P028
C003,P043
C003,P094
C003,P096
C003,P106
C003,P107
C003,P108
C003,P109
C003,P110
C003,P111
C003,P112
C003,P113
C003,P188
C003,P210
C003,P231
C003,P238
C003,P242
C003,P243
C003,P244
C003,P245
C003,P246
C003,P247
C003,P248
C003,P249
C003,P250
C003,P252
C003,P256
C003,P257
C003,P263
C003,P268
C003,P269
C003,P272
C003,P273
C003,P274
C006,P007
C006,P008
C006,P009
C006,P021
C006,P022
C006,P023
C006,P024
C006,P025
C006,P026
C006,P029
C006,P030
C006,P037
C006,P038
C006,P039
C006,P050
C006,P052
C006,P053
C006,P054
C006,P055
C006,P056
C006,P061
C006,P062
C006,P063
C006,P066
C006,P067
C006,P068
C006,P074
C006,P084
C006,P085
C006,P093
C006,P095
C006,P097
C006,P099
C006,P101
C006,P102
C006,P103
C006,P104
C006,P105
C006,P114
C006,P116
C006,P117
C006,P118
C006,P119
C006,P120
C006,P121
C006,P122
C006,P123
C006,P124
C006,P125
C006,P126
C006,P127
C006,P128
C006,P129
C006,P130
C006,P131
C006,P132
C006,P133
C006,P134
C006,P135
C006,P154
C006,P155
C006,P156
C006,P157
C006,P158
C006,P159
C006,P160
C006,P166
C006,P167
C006,P168
C006,P169
C006,P170
C006,P172
C006,P180
C006,P181
C006,P182
C006,P183
C006,P184
C006,P185
C006,P186
C006,P187
C006,P189
C006,P191
C006,P192
C006,P193
C006,P194
C006,P196
C006,P197
C006,P198
C006,P199
C006,P200
C006,P201
C006,P202
C006,P204
C006,P205
C006,P209
C006,P212
C006,P213
C006,P214
C006,P215
C006,P216
C006,P217
C006,P218
C006,P219
C006,P220
C006,P221
C006,P222
C006,P223
C006,P224
C006,P225
C006,P226
C006,P227
C006,P228
C006,P232
C006,P234
C006,P235
C006,P237
C006,P240
C006,P251
C006,P254
C006,P255
C006,P260
C006,P261
C006,P262
C006,P264
C006,P266
C006,P268
C006,P271
C007,P001
C007,P002
C007,P003
C007,P004
C007,P005
C007,P006
C007,P010
C007,P012
C007,P013
C007,P031
C007,P032
C007,P033
C007,P034
C007,P035
C007,P036
C007,P041
C007,P044
C007,P045
C007,P046
C007,P047
C007,P048
C007,P049
C007,P051
C007,P057
C007,P058
C007,P064
C007,P069
C007,P072
C007,P073
C007,P075
C007,P076
C007,P077
C007,P078
C007,P079
C007,P080
C007,P081
C007,P082
C007,P083
C007,P087
C007,P088
C007,P089
C007,P090
C007,P091
C007,P092
C007,P098
C007,P100
C007,P136
C007,P137
C007,P138
C007,P139
C007,P140
C007,P141
C007,P142
C007,P143
C007,P144
C007,P145
C007,P146
C007,P147
C007,P148
C007,P149
C007,P150
C007,P151
C007,P152
C007,P153
C007,P161
C007,P162
C007,P163
C007,P164
C007,P165
C007,P173
C007,P174
C007,P175
C007,P176
C007,P177
C007,P178
C007,P179
C007,P195
C007,P230
C007,P233
C007,P236
C007,P241
C007,P265
C007,P267
C007,P270
C008,P027
C008,P040
C008,P059
C008,P065
C008,P071
C008,P190
C008,P203
C008,P207
C008,P211
C008,P253
C008,P258
C008,P259
C009,P086
C009,P171
C009,P208
C009,P229
