company_id,risk_id
C001,R010
C001,R019
C001,R020
C001,R022
C001,R028
C001,R035
C001,R067
C001,R077
C001,R083
C001,R084
C001,R085
C001,R089
C001,R098
C001,R104
C001,R105
C001,R107
C001,R108
C001,R129
C001,R136
C001,R152
C001,R153
C001,R156
C001,R167
C001,R171
C003,R005
C003,R016
C003,R017
C003,R023
C003,R026
C003,R029
C003,R032
C003,R039
C003,R046
C003,R048
C003,R049
C003,R050
C003,R055
C003,R063
C003,R071
C003,R073
C003,R075
C003,R076
C003,R082
C003,R096
C003,R106
C003,R109
C003,R112
C003,R118
C003,R119
C003,R120
C003,R121
C003,R122
C003,R126
C003,R135
C003,R140
C003,R141
C003,R142
C003,R145
C003,R148
C003,R162
C003,R163
C003,R176
C003,R177
C006,R002
C006,R004
C006,R019
C006,R021
C006,R025
C006,R041
C006,R042
C006,R043
C006,R051
C006,R052
C006,R053
C006,R065
C006,R066
C006,R079
C006,R080
C006,R101
C006,R103
C006,R105
C006,R113
C006,R114
C006,R137
C006,R138
C006,R139
C006,R149
C006,R169
C006,R172
C006,R174
C006,R181
C006,R185
C006,R197
C006,R198
C006,R199
C006,R200
C007,R003
C007,R007
C007,R008
C007,R009
C007,R011
C007,R012
C007,R018
C007,R019
C007,R024
C007,R027
C007,R034
C007,R044
C007,R045
C007,R047
C007,R062
C007,R068
C007,R069
C007,R070
C007,R074
C007,R087
C007,R091
C007,R092
C007,R093
C007,R094
C007,R097
C007,R110
C007,R115
C007,R117
C007,R123
C007,R144
C007,R146
C007,R147
C007,R157
C007,R161
C007,R166
C007,R168
C007,R175
C007,R178
C007,R179
C008,R001
C008,R011
C008,R013
C008,R014
C008,R015
C008,R018
C008,R030
C008,R031
C008,R032
C008,R033
C008,R036
C008,R037
C008,R040
C008,R054
C008,R056
C008,R057
C008,R058
C008,R059
C008,R060
C008,R061
C008,R064
C008,R072
C008,R078
C008,R081
C008,R086
C008,R088
C008,R090
C008,R094
C008,R095
C008,R098
C008,R099
C008,R111
C008,R116
C008,R124
C008,R125
C008,R127
C008,R128
C008,R130
C008,R131
C008,R132
C008,R133
C008,R134
C008,R143
C008,R150
C008,R151
C008,R154
C008,R155
C008,R159
C008,R160
C008,R165
C008,R170
C008,R173
C008,R180
C008,R182
C008,R183
C008,R184
C008,R186
C008,R187
C008,R188
C008,R189
C008,R190
C008,R191
C008,R192
C008,R193
C008,R194
C008,R195
C008,R196
C008,R201
C008,R202
C008,R203
C009,R006
C009,R038
C009,R100
C009,R102
C009,R158
C009,R164
