companyId,metricId
C001,FM045
C001,FM046
C001,FM047
C001,FM120
C001,FM121
C001,FM144
C001,FM154
C001,FM158
C001,FM159
C001,FM160
C001,FM161
C001,FM162
C001,FM163
C001,FM169
C001,FM170
C001,FM194
C001,FM195
C001,FM196
C001,FM213
C001,FM292
C001,FM297
C001,FM299
C001,FM307
C001,FM342
C001,FM346
C001,FM347
C001,FM348
C001,FM349
C001,FM350
C001,FM356
C001,FM357
C001,FM359
C001,FM361
C001,FM371
C001,FM416
C001,FM417
C001,FM423
C001,FM424
C001,FM426
C001,FM427
C001,FM428
C001,FM431
C001,FM444
C001,FM447
C001,FM449
C001,FM454
C001,FM468
C001,FM481
C001,FM483
C001,FM484
C001,FM486
C001,FM520
C001,FM536
C001,FM537
C001,FM538
C001,FM548
C001,FM549
C001,FM551
C001,FM567
C001,FM570
C001,FM598
C001,FM599
C001,FM600
C001,FM612
C001,FM614
C001,FM620
C001,FM658
C001,FM688
C001,FM724
C001,FM746
C001,FM780
C001,FM795
C002,FM054
C002,FM090
C002,FM143
C002,FM145
C002,FM146
C002,FM147
C002,FM150
C002,FM156
C002,FM165
C002,FM176
C002,FM218
C002,FM221
C002,FM244
C002,FM245
C002,FM251
C002,FM273
C002,FM278
C002,FM283
C002,FM304
C002,FM335
C002,FM360
C002,FM379
C002,FM403
C002,FM420
C002,FM432
C002,FM436
C002,FM450
C002,FM451
C002,FM452
C002,FM453
C002,FM457
C002,FM498
C002,FM509
C002,FM530
C002,FM548
C002,FM560
C002,FM571
C002,FM572
C002,FM575
C002,FM602
C002,FM606
C002,FM607
C002,FM621
C002,FM651
C002,FM657
C002,FM668
C002,FM700
C002,FM714
C002,FM715
C002,FM716
C002,FM717
C002,FM719
C002,FM750
C002,FM751
C002,FM767
C002,FM768
C002,FM775
C002,FM779
C002,FM780
C002,FM844
C002,FM869
C002,FM870
C002,FM873
C002,FM874
C003,FM050
C003,FM052
C003,FM053
C003,FM055
C003,FM057
C003,FM058
C003,FM060
C003,FM061
C003,FM066
C003,FM070
C003,FM072
C003,FM075
C003,FM077
C003,FM089
C003,FM116
C003,FM117
C003,FM142
C003,FM143
C003,FM149
C003,FM153
C003,FM155
C003,FM171
C003,FM172
C003,FM174
C003,FM175
C003,FM178
C003,FM179
C003,FM189
C003,FM190
C003,FM191
C003,FM192
C003,FM205
C003,FM206
C003,FM222
C003,FM230
C003,FM239
C003,FM240
C003,FM246
C003,FM247
C003,FM248
C003,FM249
C003,FM250
C003,FM252
C003,FM256
C003,FM257
C003,FM258
C003,FM259
C003,FM260
C003,FM261
C003,FM262
C003,FM263
C003,FM264
C003,FM265
C003,FM266
