entityType,entityId,chunkId
Product,P015,CH001
Product,P021,CH001
Product,P022,CH001
Product,P023,CH001
Product,P024,CH001
Product,P025,CH001
Product,P026,CH001
Product,P027,CH001
Product,P029,CH001
Product,P031,CH001
Product,P034,CH001
Product,P042,CH001
Product,P130,CH001
Product,P258,CH002
Product,P274,CH002
Product,P274,CH003
Product,P258,CH007
Product,P147,CH012
Product,P020,CH018
Product,P028,CH023
Product,P030,CH023
Product,P032,CH023
Product,P033,CH023
Product,P131,CH023
Product,P146,CH023
Product,P148,CH023
Product,P149,CH023
Product,P150,CH023
Product,P151,CH023
Product,P152,CH023
Product,P153,CH023
Product,P292,CH023
Product,P294,CH023
Product,P295,CH023
Product,P297,CH023
Product,P298,CH023
Product,P299,CH023
Product,P300,CH023
Product,P301,CH023
Product,P302,CH023
Product,P303,CH023
Product,P147,CH024
Product,P274,CH024
Product,P293,CH024
Product,P296,CH024
Product,P221,CH028
Product,P039,CH029
Product,P176,CH029
Product,P182,CH029
Product,P041,CH030
Product,P081,CH030
Product,P126,CH030
Product,P175,CH030
Product,P177,CH030
Product,P179,CH030
Product,P255,CH030
Product,P256,CH030
Product,P276,CH030
Product,P277,CH030
Product,P279,CH030
Product,P172,CH031
Product,P185,CH031
Product,P178,CH032
Product,P141,CH033
Product,P272,CH033
Product,P216,CH035
Product,P273,CH035
Product,P142,CH036
Product,P145,CH036
Product,P217,CH036
Product,P104,CH037
Product,P016,CH038
Product,P017,CH038
Product,P093,CH038
Product,P162,CH038
Product,P089,CH039
Product,P173,CH039
Product,P278,CH039
Product,P280,CH039
Product,P281,CH039
Product,P288,CH039
Product,P287,CH040
Product,P038,CH041
Product,P110,CH041
Product,P183,CH041
Product,P008,CH042
Product,P088,CH044
Product,P171,CH044
Product,P181,CH046
Product,P251,CH046
Product,P270,CH046
Product,P275,CH047
Product,P037,CH049
Product,P040,CH049
Product,P008,CH050
Product,P044,CH050
Product,P097,CH053
Product,P010,CH055
Product,P169,CH055
Product,P184,CH055
Product,P164,CH056
Product,P168,CH056
Product,P220,CH056
Product,P222,CH056
Product,P249,CH056
Product,P250,CH056
Product,P254,CH056
Product,P285,CH056
Product,P254,CH057
Product,P285,CH057
Product,P009,CH060
Product,P269,CH069
Product,P063,CH070
Product,P088,CH071
Product,P143,CH071
Product,P283,CH071
Product,P289,CH071
Product,P105,CH084
Product,P106,CH084
Product,P107,CH084
Product,P108,CH084
Product,P136,CH090
Product,P060,CH091
Product,P036,CH095
Product,P087,CH095
Product,P142,CH095
Product,P143,CH095
Product,P144,CH095
Product,P145,CH095
Product,P165,CH095
Product,P166,CH095
Product,P167,CH095
Product,P181,CH095
Product,P186,CH095
Product,P187,CH095
Product,P214,CH095
Product,P215,CH095
Product,P236,CH095
Product,P237,CH095
Product,P244,CH095
Product,P248,CH095
Product,P282,CH095
Product,P043,CH096
Product,P095,CH096
Product,P105,CH096
Product,P125,CH096
Product,P129,CH096
Product,P134,CH096
Product,P174,CH096
Product,P180,CH096
Product,P212,CH096
Product,P254,CH096
Product,P257,CH096
Product,P271,CH096
Product,P284,CH096
Product,P286,CH096
Product,P094,CH097
Product,P140,CH097
Product,P170,CH097
Product,P218,CH097
Product,P246,CH097
Product,P247,CH097
Product,P275,CH097
Product,P111,CH113
Product,P050,CH117
Product,P124,CH123
Product,P090,CH124
Product,P100,CH124
Product,P101,CH124
Product,P102,CH124
Product,P052,CH126
Product,P111,CH126
Product,P112,CH126
Product,P052,CH127
Product,P163,CH128
Product,P263,CH128
Product,P092,CH133
Product,P082,CH138
Product,P051,CH154
Product,P112,CH176
Product,P082,CH187
Product,P083,CH188
Product,P084,CH188
Product,P045,CH199
Product,P098,CH199
Product,P099,CH199
Product,P138,CH199
Product,P242,CH199
Product,P252,CH199
