company_id,product_id
C001,P001
C001,P011
C001,P018
C001,P019
C001,P045
C001,P061
C001,P098
C001,P099
C001,P103
C001,P138
C001,P154
C001,P155
C001,P156
C001,P242
C001,P245
C001,P252
C001,P259
C001,P260
C001,P261
C001,P291
C002,P015
C002,P020
C002,P021
C002,P022
C002,P023
C002,P024
C002,P025
C002,P026
C002,P027
C002,P028
C002,P029
C002,P030
C002,P031
C002,P032
C002,P033
C002,P034
C002,P042
C002,P130
C002,P131
C002,P146
C002,P147
C002,P148
C002,P149
C002,P150
C002,P151
C002,P152
C002,P153
C002,P258
C002,P274
C002,P292
C002,P293
C002,P294
C002,P295
C002,P296
C002,P297
C002,P298
C002,P299
C002,P300
C002,P301
C002,P302
C002,P303
C003,P008
C003,P009
C003,P010
C003,P016
C003,P017
C003,P036
C003,P037
C003,P038
C003,P039
C003,P040
C003,P041
C003,P043
C003,P044
C003,P060
C003,P063
C003,P081
C003,P087
C003,P088
C003,P089
C003,P093
C003,P094
C003,P095
C003,P097
C003,P104
C003,P105
C003,P106
C003,P107
C003,P108
C003,P110
C003,P125
C003,P126
C003,P129
C003,P134
C003,P136
C003,P140
C003,P141
C003,P142
C003,P143
C003,P144
C003,P145
C003,P162
C003,P164
C003,P165
C003,P166
C003,P167
C003,P168
C003,P169
C003,P170
C003,P171
C003,P172
C003,P173
C003,P174
C003,P175
C003,P176
C003,P177
C003,P178
C003,P179
C003,P180
C003,P181
C003,P182
C003,P183
C003,P184
C003,P185
C003,P186
C003,P187
C003,P212
C003,P214
C003,P215
C003,P216
C003,P217
C003,P218
C003,P220
C003,P221
C003,P222
C003,P236
C003,P237
C003,P244
C003,P246
C003,P247
C003,P248
C003,P249
C003,P250
C003,P251
C003,P254
C003,P255
C003,P256
C003,P257
C003,P269
C003,P270
C003,P271
C003,P272
C003,P273
C003,P275
C003,P276
C003,P277
C003,P278
C003,P279
C003,P280
C003,P281
C003,P282
C003,P283
C003,P284
C003,P285
C003,P286
C003,P287
C003,P288
C003,P289
C004,P002
C004,P003
C004,P004
C004,P005
C004,P006
C004,P007
C004,P008
C004,P012
C004,P013
C004,P014
C004,P035
C004,P054
C004,P055
C004,P056
C004,P057
C004,P058
C004,P062
C004,P072
C004,P073
C004,P074
C004,P075
C004,P076
C004,P077
C004,P078
C004,P079
C004,P080
C004,P096
C004,P109
C004,P110
C004,P114
C004,P115
C004,P116
C004,P117
C004,P118
C004,P119
C004,P120
C004,P121
C004,P122
C004,P123
C004,P127
C004,P128
C004,P133
C004,P135
C004,P137
C004,P139
C004,P188
C004,P189
C004,P190
C004,P191
C004,P192
C004,P193
C004,P194
C004,P195
C004,P196
C004,P197
C004,P198
C004,P199
C004,P200
C004,P201
C004,P202
C004,P203
C004,P204
C004,P205
C004,P206
C004,P207
C004,P208
C004,P209
C004,P210
C004,P211
C004,P213
C004,P219
C004,P238
C004,P239
C004,P240
C004,P241
C004,P243
C004,P253
C004,P284
C005,P050
C005,P051
C005,P052
C005,P082
C005,P083
C005,P084
C005,P090
C005,P092
C005,P100
C005,P101
C005,P102
C005,P111
C005,P112
C005,P124
C005,P163
C005,P263
C006,P046
C006,P047
C006,P048
C006,P049
C006,P053
C006,P059
C006,P064
C006,P065
C006,P066
C006,P067
C006,P068
C006,P069
C006,P070
C006,P071
C006,P085
C006,P086
C006,P091
C006,P113
C006,P132
C006,P157
C006,P158
C006,P159
C006,P160
C006,P161
C006,P223
C006,P224
C006,P225
C006,P226
C006,P227
C006,P228
C006,P229
C006,P230
C006,P231
C006,P232
C006,P233
C006,P234
C006,P235
C006,P262
C006,P264
C006,P265
C006,P266
C006,P267
C006,P268
C006,P290
