company_id,risk_id
C001,R006
C001,R016
C001,R023
C001,R024
C001,R026
C001,R051
C001,R080
C001,R094
C001,R097
C001,R099
C001,R100
C001,R115
C001,R123
C001,R185
C001,R189
C001,R194
C001,R195
C001,R197
C001,R204
C001,R218
C001,R221
C001,R249
C001,R273
C001,R287
C001,R288
C001,R310
C001,R311
C001,R313
C001,R315
C001,R320
C001,R321
C001,R331
C001,R332
C001,R333
C001,R337
C001,R354
C001,R357
C001,R365
C001,R366
C001,R374
C001,R378
C001,R404
C001,R406
C001,R407
C001,R408
C001,R415
C001,R422
C001,R423
C001,R435
C001,R438
C001,R441
C001,R442
C001,R445
C001,R446
C001,R449
C001,R452
C001,R453
C001,R455
C001,R458
C001,R470
C001,R475
C001,R477
C001,R478
C001,R487
C001,R490
C001,R496
C001,R498
C001,R517
C001,R542
C001,R545
C001,R562
C001,R570
C001,R584
C001,R595
C001,R601
C001,R605
C001,R607
C001,R616
C001,R624
C001,R640
C001,R643
C001,R648
C001,R649
C001,R674
C001,R685
C001,R693
C001,R699
C001,R709
C001,R724
C001,R725
C001,R739
C001,R741
C001,R742
C001,R763
C001,R765
C001,R768
C001,R771
C001,R778
C001,R779
C001,R790
C001,R791
C001,R792
C001,R794
C001,R818
C001,R821
C001,R840
C002,R036
C002,R037
C002,R043
C002,R064
C002,R118
C002,R119
C002,R121
C002,R140
C002,R142
C002,R143
C002,R155
C002,R179
C002,R192
C002,R207
C002,R210
C002,R216
C002,R217
C002,R218
C002,R220
C002,R238
C002,R240
C002,R292
C002,R306
C002,R315
C002,R317
C002,R359
C002,R370
C002,R377
C002,R380
C002,R383
C002,R390
C002,R401
C002,R402
C002,R414
C002,R417
C002,R427
C002,R429
C002,R432
C002,R433
C002,R436
C002,R438
C002,R442
C002,R446
C002,R447
C002,R450
C002,R456
C002,R460
C002,R461
C002,R464
C002,R469
C002,R471
C002,R476
C002,R477
C002,R489
C002,R498
C002,R506
C002,R507
C002,R511
C002,R514
C002,R523
C002,R535
C002,R568
C002,R575
C002,R576
C002,R591
C002,R596
C002,R613
C002,R615
C002,R619
C002,R623
C002,R628
C002,R631
C002,R632
C002,R634
C002,R635
C002,R639
C002,R667
C002,R678
C002,R681
C002,R688
C002,R689
C002,R695
C002,R696
C002,R722
C002,R726
C002,R731
C002,R732
C002,R733
C002,R734
C002,R745
C002,R746
C002,R747
C002,R755
C002,R762
C002,R766
C002,R767
C002,R771
C002,R776
C002,R793
C002,R799
C002,R809
C002,R811
C002,R815
C002,R817
C002,R819
C002,R832
C002,R834
C002,R844
C002,R882
C003,R008
C003,R009
C003,R011
C003,R012
C003,R013
C003,R015
C003,R017
C003,R025
C003,R026
C003,R027
C003,R032
C003,R046
C003,R066
C003,R079
C003,R085
C003,R089
C003,R090
C003,R091
C003,R098
C003,R104
C003,R105
C003,R107
C003,R110
C003,R111
C003,R112
C003,R113
C003,R120
C003,R140
C003,R144
C003,R153
C003,R161
C003,R167
C003,R174
C003,R175
C003,R176
C003,R179
C003,R180
C003,R181
C003,R182
C003,R188
C003,R192
C003,R196
C003,R209
C003,R211
C003,R219
C003,R224
C003,R230
C003,R244
C003,R245
C003,R246
C003,R272
C003,R275
C003,R277
C003,R280
C003,R282
C003,R315
C003,R316
C003,R328
C003,R338
C003,R339
C003,R347
C003,R351
C003,R355
C003,R356
C003,R363
C003,R364
C003,R367
C003,R372
C003,R373
C003,R375
C003,R389
C003,R396
C003,R399
C003,R416
C003,R431
C003,R434
C003,R436
C003,R437
C003,R438
C003,R442
C003,R454
C003,R461
C003,R462
C003,R465
C003,R472
C003,R473
C003,R474
C003,R479
C003,R483
C003,R484
C003,R512
C003,R533
C003,R547
C003,R560
C003,R561
C003,R563
C003,R564
C003,R565
C003,R572
C003,R582
C003,R592
C003,R604
C003,R609
C003,R610
C003,R612
C003,R614
C003,R621
C003,R626
C003,R627
C003,R633
C003,R647
C003,R686
C003,R687
C003,R700
C003,R701
C003,R704
C003,R716
C003,R720
C003,R721
C003,R727
C003,R729
C003,R748
C003,R761
C003,R768
C003,R770
C003,R782
C003,R783
C003,R787
C003,R801
C003,R806
C003,R807
C003,R816
C003,R824
C003,R826
C003,R828
C003,R830
C003,R834
C003,R835
C003,R841
C003,R876
C003,R881
C004,R007
C004,R010
C004,R013
C004,R014
C004,R019
C004,R020
C004,R021
C004,R022
C004,R023
C004,R026
C004,R027
C004,R042
C004,R047
C004,R048
C004,R050
C004,R052
C004,R053
C004,R068
C004,R069
C004,R070
C004,R072
C004,R073
C004,R074
C004,R075
C004,R076
C004,R077
C004,R078
C004,R082
C004,R085
C004,R087
C004,R099
C004,R101
C004,R106
C004,R108
C004,R109
C004,R114
C004,R116
C004,R146
C004,R149
C004,R150
C004,R159
C004,R160
C004,R162
C004,R163
C004,R168
